"country","barrelsPerDay","pop2022"
"Turks and Caicos Islands","1340","45.7030"
"Comoros","1300","836.7740"
"British Virgin Islands","1200","31.3050"
"Samoa","1100","222.3820"
"Vanuatu","1000","326.7400"
"Sao Tome and Principe","1000","227.3800"
"Dominica","1000","72.7370"
"Grenada","860","125.4380"
"Saint Pierre and Miquelon","630","5.8620"
"Montserrat","570","4.3900"
"Cook Islands","530","17.0110"
"Kiribati","400","131.2320"
"Nauru","400","12.6680"
"Falkland Islands","300","3.7800"
"Niue","60","1.9340"
